district,district_code,school,school_code,low_grade,high_grade,enrollment,pct_high_needs,ppe_instruction,ppe_support_services_students,ppe_improvement_of_instruction,ppe_library_and_media_services,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_operation_and_maintenance_of_plant,ppe_transportation_other_than_to_from_home,ppe_enterprise_operations,ppe_minor_school_construction,ppe_total,fiscal_year,cpi_u,deflator,ppe_instruction_real,ppe_support_services_students_real,ppe_improvement_of_instruction_real,ppe_library_and_media_services_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_operation_and_maintenance_of_plant_real,ppe_transportation_other_than_to_from_home_real,ppe_enterprise_operations_real,ppe_minor_school_construction_real,ppe_total_real
Cheshire School District,0250011,Highland School,0250411,K,6,746,24.4,10184,1184,125,680,92,728,1711,0,15,,14718,2021,270.973,1.1881700390813843,12100.323678004817,1406.793326272359,148.52125488517305,807.9556265753413,109.31164359548735,864.9877884512478,2032.9589368682484,0.0,17.822550586220764,,17487.486635199813
Cheshire School District,0250011,Norton School,0250511,K,6,403,24.1,11174,1279,125,758,99,796,1681,0,15,,15926,2021,270.973,1.1881700390813843,13276.612016695388,1519.6694799850904,148.52125488517305,900.6328896236893,117.62883386905705,945.7833511087819,1997.313835695807,0.0,17.822550586220764,,18922.796042410126
Chester School District,0260011,Chester Elementary School,0260111,PK,6,201,34.3,15664,1589,0,330,33,2276,2298,7,0,,22198,2021,270.973,1.1881700390813843,18611.495492170805,1888.0021921003197,0.0,392.0961128968568,39.20961128968568,2704.2750089492306,2730.414749809021,8.31719027356969,0.0,,26374.99852752857
Clinton School District,0270011,Jared Eliot School,0275111,5,8,473,47.1,14066,2190,0,631,457,943,735,9,0,,19033,2021,270.973,1.1881700390813843,16712.799769718753,2602.0923855882315,0.0,749.7352946603535,542.9937078601927,1120.4443468537454,873.3049787248175,10.69353035173246,0.0,,22614.440353835987
Clinton School District,0270011,Lewin G. Joel Jr. School,0270311,PK,4,526,51.0,11722,1209,0,356,28,665,797,1,0,,14780,2021,270.973,1.1881700390813843,13927.729198111987,1436.4975772493935,0.0,422.9885339129728,33.26876109427876,790.1330759891206,946.9715211478633,1.1881700390813843,0.0,,17561.15317762286
Clinton School District,0270011,The Morgan School,0276111,9,12,564,38.1,10291,1316,0,248,0,805,804,91,0,,13556,2021,270.973,1.1881700390813843,12227.457872186525,1563.6317714311017,0.0,294.6661696921833,0.0,956.4768814605144,955.2887114214329,108.12347355640597,0.0,,16106.833049787245
Colchester School District,0280011,Bacon Academy,0286111,9,12,733,32.7,10144,1285,157,221,0,1159,1466,61,595,,15090,2021,270.973,1.1881700390813843,12052.796876441562,1526.7985002195787,186.54269613577733,262.58557863698593,0.0,1377.0890752953244,1741.8572772933094,72.47837238396444,706.9611732534237,,17929.485889738087
Colchester School District,0280011,Colchester Elementary School,0280411,PK,2,498,33.1,10796,1888,422,280,0,1113,1544,0,63,,16106,2021,270.973,1.1881700390813843,12827.483741922624,2243.2650337856535,501.40775649234416,332.6876109427876,0.0,1322.4332534975808,1834.5345403416572,0.0,74.85471246212721,,19136.666649444775
Colchester School District,0280011,Jack Jackter Intermediate School,0280211,3,5,445,35.5,11303,1477,174,315,0,1192,1855,0,79,,16396,2021,270.973,1.1881700390813843,13429.885951736887,1754.9271477232046,206.74158680016086,374.27356231063607,0.0,1416.29868658501,2204.055422495968,0.0,93.86543308742937,,19481.235960778376
Colchester School District,0280011,William J. Johnston Middle School,0285111,6,8,501,34.9,11669,1488,163,280,0,1140,1479,0,128,,16346,2021,270.973,1.1881700390813843,13864.756186040673,1767.9970181530998,193.67171637026564,332.6876109427876,0.0,1354.5138445527782,1757.3034878013673,0.0,152.0857650024172,,19421.827458824308
Colebrook School District,0290011,Colebrook Consolidated School,0290111,K,6,75,49.3,17660,1551,79,82,473,2137,2573,0,0,,24554,2021,270.973,1.1881700390813843,20983.082890177247,1842.851730615227,93.86543308742937,97.4299432046735,562.0044284854948,2539.119373516918,3057.161510556402,0.0,0.0,,29174.32713960431
Columbia School District,0300011,Horace W. Porter School,0300111,PK,8,400,30.3,10361,4611,0,284,0,1451,1087,0,937,,18731,2021,270.973,1.1881700390813843,12310.629774922223,5478.652050204263,0.0,337.44029109911315,0.0,1724.0347267070886,1291.5408324814648,0.0,1113.3153266192571,,22255.61300203341
Common Ground High School District,2680013,Common Ground High School,2686113,9,12,236,74.2,7303,4315,1868,0,15,2578,1494,269,0,,17842,2021,270.973,1.1881700390813843,8677.20579541135,5126.953718636173,2219.5016330040257,0.0,17.822550586220764,3063.1023607518086,1775.126038387588,319.6177405128924,0.0,,21199.329837290057
Cooperative Educational Services,2430014,Six-Six Magnet School,2430114,PK,8,449,45.7,16365,261,0,0,10,852,0,0,0,,17489,2021,270.973,1.1881700390813843,19444.402689566854,310.1123802002413,0.0,0.0,11.881700390813844,1012.3208732973394,0.0,0.0,0.0,,20779.90581349433
Cornwall School District,0310011,Cornwall Consolidated School,0310111,K,8,104,26.9,16862,1990,440,282,1280,2602,2802,0,11,,26269,2021,270.973,1.1881700390813843,20034.923198990302,2364.458377771955,522.7948171958091,335.06395102095036,1520.857650024172,3091.6184416897618,3329.252449506039,0.0,13.069870429895227,,31212.038756628885
Coventry School District,0320011,Capt. Nathan Hale School,0325111,6,8,387,31.8,11112,1360,237,19,0,1257,1803,1,0,,15789,2021,270.973,1.1881700390813843,13202.945474272343,1615.9112531506826,281.5962992622881,22.575230742546303,0.0,1493.5297391253,2142.2705804637358,1.1881700390813843,0.0,,18760.016747055975
Coventry School District,0320011,Coventry Grammar School,0320211,K,2,328,30.2,12350,893,196,23,0,898,1649,0,0,,16010,2021,270.973,1.1881700390813843,14673.899982655095,1061.0358448996762,232.88132765995132,27.32791089887184,0.0,1066.9766950950832,1959.2923944452027,0.0,0.0,,19022.602325692962
Coventry School District,0320011,Coventry High School,0326111,9,12,419,33.9,12749,1367,194,52,0,1387,1795,87,0,,17632,2021,270.973,1.1881700390813843,15147.979828248568,1624.2284434242524,230.50498758178855,61.784842032231985,0.0,1647.99184420588,2132.765220151085,103.37079340008043,0.0,,20949.814129082966
Coventry School District,0320011,George Hersey Robertson School,0320411,3,5,376,36.7,8709,793,194,17,0,824,1660,0,0,,12197,2021,270.973,1.1881700390813843,10347.772870359775,942.2188409915377,230.50498758178855,20.198890664383534,0.0,979.0521122030607,1972.362264875098,0.0,0.0,,14492.109966675644
Cromwell School District,0330011,Cromwell High School,0336111,9,12,552,33.3,9640,1798,157,89,58,1706,2068,52,638,,16208,2021,270.973,1.1881700390813843,11453.959176744545,2136.329730268329,186.54269613577733,105.7471334782432,68.91386226672029,2027.0180866728417,2457.135640820303,61.784842032231985,758.0524849339232,,19257.859993431077
Cromwell School District,0330011,Cromwell Middle School,0335111,6,8,469,36.2,10358,1613,157,8,58,1102,1385,4,180,,14865,2021,270.973,1.1881700390813843,12307.065264804978,1916.5182730382728,186.54269613577733,9.505360312651074,68.91386226672029,1309.3633830676854,1645.6155041277173,4.752680156325537,213.87060703464917,,17662.14763094478
Cromwell School District,0330011,Edna C. Stevens School,0330211,PK,2,491,42.6,9393,1135,159,10,58,991,1174,0,0,,12920,2021,270.973,1.1881700390813843,11160.481177091442,1348.5729943573713,188.9190362139401,11.881700390813844,68.91386226672029,1177.4765087296519,1394.9116258815452,0.0,0.0,,15351.156904931486
Cromwell School District,0330011,Woodside Intermediate School,0330311,3,5,463,33.9,8688,1258,157,12,58,988,1594,0,0,,12755,2021,270.973,1.1881700390813843,10322.821299539068,1494.7179091643814,186.54269613577733,14.258040468976612,68.91386226672029,1173.9119986124076,1893.9430422957266,0.0,0.0,,15155.108848483056
Danbury School District,0340011,Broadview Middle School,0345111,6,8,1023,66.9,8956,399,0,312,5,542,717,0,0,,10931,2021,270.973,1.1881700390813843,10641.250870012878,474.0798455934723,0.0,370.7090521933919,5.940850195406922,643.9881611821103,851.9179180213525,0.0,0.0,,12987.886697198612
Danbury School District,0340011,DPS Early Childhood Center,0340111,PK,K,134,85.1,11126,670,0,45,1015,992,143,0,0,,13991,2021,270.973,1.1881700390813843,13219.579854819482,796.0739261845275,0.0,53.46765175866229,1205.992589667605,1178.6646787687332,169.90831558863795,0.0,0.0,,16623.687016787648
Danbury School District,0340011,Danbury High School,0346111,9,12,3339,65.7,7527,389,0,84,19,256,591,28,0,,8893,2021,270.973,1.1881700390813843,8943.35588416558,462.1981452026585,0.0,99.80628328283628,22.575230742546303,304.1715300048344,702.2084930970981,33.26876109427876,0.0,,10566.396157550751
Danbury School District,0340011,Ellsworth Avenue School,0341411,K,5,479,85.6,7339,243,0,150,2,268,545,0,0,,8548,2021,270.973,1.1881700390813843,8719.97991681828,288.72531949677636,0.0,178.22550586220765,2.3763400781627686,318.429570473811,647.5526712993544,0.0,0.0,,10156.477494067673
Danbury School District,0340011,Great Plain School,0341111,PK,5,284,66.5,8190,486,0,416,0,793,540,0,0,,10425,2021,270.973,1.1881700390813843,9731.112620076537,577.4506389935527,0.0,494.2787362578559,0.0,942.2188409915377,641.6118211039475,0.0,0.0,,12386.67265742343
Danbury School District,0340011,Hayestown Avenue School,0340211,PK,5,461,75.7,7679,357,0,259,0,493,776,0,0,,9564,2021,270.973,1.1881700390813843,9123.95773010595,424.1767039520542,0.0,307.7360401220785,0.0,585.7678292671225,922.0199503271542,0.0,0.0,,11363.65825377436
Danbury School District,0340011,King Street Intermediate School,0341711,4,5,395,63.0,6884,273,0,349,0,636,388,0,0,,8530,2021,270.973,1.1881700390813843,8179.362549036249,324.37042066921794,0.0,414.6713436394031,0.0,755.6761448557604,461.0099751635771,0.0,0.0,,10135.090433364208
Danbury School District,0340011,King Street Primary School,0341311,K,3,388,64.2,9851,0,0,4,0,94,843,0,0,,10793,2021,270.973,1.1881700390813843,11704.663054990717,0.0,0.0,4.752680156325537,0.0,111.68798367365012,1001.627342945607,0.0,0.0,,12823.919231805381
Danbury School District,0340011,Mill Ridge Primary School,0340511,K,3,355,58.9,7902,136,0,409,6,428,613,0,0,,9495,2021,270.973,1.1881700390813843,9388.919648821098,161.59112531506827,0.0,485.9615459842862,7.129020234488306,508.5367767268325,728.3482339568885,0.0,0.0,,11281.674521077744
Danbury School District,0340011,Morris Street School,0340611,PK,5,362,88.7,7326,103,0,242,0,566,796,0,0,,9034,2021,270.973,1.1881700390813843,8704.533706310222,122.38151402538259,0.0,287.537149457695,0.0,672.5042421200635,945.7833511087819,0.0,0.0,,10733.928133061227
Danbury School District,0340011,Park Avenue School,0340811,K,5,597,84.9,6573,407,0,0,9,385,589,0,0,,7963,2021,270.973,1.1881700390813843,7809.841666881939,483.5852059061234,0.0,0.0,10.69353035173246,457.44546504633297,699.8321530189354,0.0,0.0,,9461.398021205063
Danbury School District,0340011,Pembroke School,0341511,K,5,341,72.4,9630,230,0,395,0,770,1102,0,0,,12127,2021,270.973,1.1881700390813843,11442.07747635373,273.2791089887184,0.0,469.3271654371468,0.0,914.8909300926659,1309.3633830676854,0.0,0.0,,14408.938063939948
Danbury School District,0340011,Rogers Park Middle School,0345211,6,8,1068,76.1,8216,417,0,178,0,984,601,0,0,,10396,2021,270.973,1.1881700390813843,9762.005041092654,495.4669062969372,0.0,211.4942669564864,0.0,1169.1593184560822,714.090193487912,0.0,0.0,,12352.215726290071
Danbury School District,0340011,Shelter Rock School,0341211,K,5,518,71.4,6448,202,0,209,0,499,511,0,0,,7869,2021,270.973,1.1881700390813843,7661.320411996766,240.01034789443963,0.0,248.3275381680093,0.0,592.8968495016107,607.1548899705874,0.0,0.0,,9349.710037531413
Danbury School District,0340011,South Street School,0341011,K,5,401,82.5,7232,52,0,298,0,603,844,0,0,,9030,2021,270.973,1.1881700390813843,8592.845722636572,61.784842032231985,0.0,354.0746716462525,0.0,716.4665335660748,1002.8155129846883,0.0,0.0,,10729.1754529049
Danbury School District,0340011,Stadley Rough School,0341611,K,5,487,69.0,6821,192,0,252,0,523,686,0,0,,8474,2021,270.973,1.1881700390813843,8104.507836574122,228.12864750362579,0.0,299.41884984850884,0.0,621.412930439564,815.0846468098297,0.0,0.0,,10068.552911175651
Danbury School District,0340011,Western CT Academy of International Studies Elementary Magnet School,0341911,K,5,346,50.0,7489,62,0,0,0,121,619,0,0,,8291,2021,270.973,1.1881700390813843,8898.205422680487,73.66654242304583,0.0,0.0,0.0,143.7685747288475,735.4772541913769,0.0,0.0,,9851.117794023758
Danbury School District,0340011,Westside Middle School Academy,0340311,6,8,744,57.3,6332,72,0,183,0,684,479,0,0,,7750,2021,270.973,1.1881700390813843,7523.492687463326,85.54824281385967,0.0,217.43511715189334,0.0,812.7083067316669,569.1334487199831,0.0,0.0,,9208.317802880729
Darien School District,0350011,Darien High School,0356111,9,12,1382,20.4,10851,2272,153,0,0,1442,1230,0,260,,16209,2021,270.973,1.1881700390813843,12892.8330940721,2699.5223287929052,181.7900159794518,0.0,0.0,1713.3411963553563,1461.4491480701026,0.0,308.9242101611599,,19259.048163470157
Darien School District,0350011,Hindley Elementary School,0350211,PK,5,429,14.0,11691,955,321,1,0,960,1066,0,6,,15000,2021,270.973,1.1881700390813843,13890.895926900464,1134.702387322722,381.40258254512435,1.1881700390813843,0.0,1140.643237518129,1266.5892616607557,0.0,7.129020234488306,,17822.550586220765
Darien School District,0350011,Holmes Elementary School,0350711,PK,5,433,13.9,9975,551,164,1,0,952,1038,0,13,,12695,2021,270.973,1.1881700390813843,11851.996139836809,654.6816915338427,194.859886409347,1.1881700390813843,0.0,1131.137877205478,1233.320500566477,0.0,15.446210508057996,,15083.818646138174
Darien School District,0350011,Middlesex Middle School,0355111,6,8,1143,17.3,11198,1360,239,0,0,879,1038,0,117,,14831,2021,270.973,1.1881700390813843,13305.128097633342,1615.9112531506826,283.9726393404508,0.0,0.0,1044.4014643525368,1233.320500566477,0.0,139.01589457252197,,17621.74984961601
Darien School District,0350011,Ox Ridge Elementary School,0351311,PK,5,445,16.4,12031,1324,309,1,0,929,1190,0,0,,15784,2021,270.973,1.1881700390813843,14294.873740188135,1573.137131743753,367.14454207614773,1.1881700390813843,0.0,1103.809966306606,1413.9223465068474,0.0,0.0,,18754.07589686057
Darien School District,0350011,Royle Elementary School,0350511,PK,5,387,22.7,13274,1502,257,1,0,1068,1144,0,13,,17260,2021,270.973,1.1881700390813843,15771.769098766295,1784.6313987002393,305.3597000439158,1.1881700390813843,0.0,1268.9656017389184,1359.2665247091036,0.0,15.446210508057996,,20507.814874544692
Darien School District,0350011,Tokeneke Elementary School,0350611,PK,5,434,20.0,11149,1437,323,0,0,950,1367,0,18,,15244,2021,270.973,1.1881700390813843,13246.907765718353,1707.4003461599493,383.77892262328714,0.0,0.0,1128.761537127315,1624.2284434242524,0.0,21.38706070346492,,18112.464075756623
Deep River School District,0360011,Deep River Elementary School,0360111,PK,6,218,45.9,16380,1802,0,589,4,2028,2189,0,0,,22992,2021,270.973,1.1881700390813843,19462.225240153075,2141.0824104246544,0.0,699.8321530189354,4.752680156325537,2409.6088392570473,2600.90421554915,0.0,0.0,,27318.40553855919
Derby School District,0370011,Bradley School,0370611,K,5,231,51.5,11518,1660,245,81,46,1408,1355,0,391,,16703,2021,270.973,1.1881700390813843,13685.342510139384,1972.362264875098,291.10165957493916,96.24177316559212,54.65582179774368,1672.943415026589,1609.9704029552756,0.0,464.57448528082125,,19846.00416277636
Derby School District,0370011,Derby High School,0376111,9,12,333,66.1,11337,1151,245,258,53,1848,1969,0,1451,,18312,2021,270.973,1.1881700390813843,13470.283733065653,1367.5837149826734,291.10165957493916,306.5478700829971,62.97301207131337,2195.738232222398,2339.506806951246,0.0,1724.0347267070886,,21757.769755658308
Derby School District,0370011,Derby Middle School,0375011,6,8,322,69.9,11630,1677,267,0,48,1619,1864,0,469,,17573,2021,270.973,1.1881700390813843,13818.4175545165,1992.5611555394814,317.2414004347296,0.0,57.032161875906446,1923.647293272761,2214.7489528477004,0.0,557.2517483291692,,20879.712096777166
Derby School District,0370011,Irving School,0370411,K,5,272,62.1,14776,810,245,3,45,1170,1091,0,391,,18531,2021,270.973,1.1881700390813843,17556.400497466533,962.4177316559213,291.10165957493916,3.564510117244153,53.46765175866229,1390.1589457252196,1296.2935126377902,0.0,464.57448528082125,,22017.978994217134
Derby School District,0370011,Little Raiders University,0370111,PK,PK,43,44.2,6364,85,245,0,16,147,0,0,391,,7247,2021,270.973,1.1881700390813843,7561.5141287139295,100.99445332191766,291.10165957493916,0.0,19.01072062530215,174.6609957449635,0.0,0.0,464.57448528082125,,8610.668273222793
East Granby School District,0400011,Allgrove School,0400111,PK,2,175,16.0,10673,752,613,448,68,1322,1267,0,0,,15142,2021,270.973,1.1881700390813843,12681.338827115615,893.503869389201,728.3482339568885,532.3001775084601,80.79556265753413,1570.76079166559,1505.411439516114,0.0,0.0,,17991.27073177032
East Granby School District,0400011,East Granby High School,0406111,9,12,259,27.4,12032,1538,423,621,7,1783,896,0,840,,18141,2021,270.973,1.1881700390813843,14296.061910227216,1827.405520107169,502.59592653142556,737.8535942695396,8.31719027356969,2118.507179682108,1064.6003550169203,0.0,998.0628328283628,,21554.592678975394
East Granby School District,0400011,East Granby Middle School,0405111,6,8,209,26.3,11597,1275,423,345,7,1241,896,0,0,,15783,2021,270.973,1.1881700390813843,13779.207943226813,1514.916799828765,502.59592653142556,409.9186634830776,8.31719027356969,1474.5190184999979,1064.6003550169203,0.0,0.0,,18752.88772682149
East Granby School District,0400011,R. Dudley Seymour School,0400211,3,5,183,30.1,10540,851,423,452,7,1669,1239,0,0,,15182,2021,270.973,1.1881700390813843,12523.31221191779,1011.1327032582581,502.59592653142556,537.0528576647857,8.31719027356969,1983.0557952268305,1472.1426784218352,0.0,0.0,,18038.797533333578
East Haddam School District,0410011,East Haddam Elementary School,0410111,PK,3,287,28.9,11631,1483,76,506,214,1009,2512,5,0,,17436,2021,270.973,1.1881700390813843,13819.60572455558,1762.0561679576929,90.30092297018521,601.2140397751805,254.26838836341625,1198.8635694331167,2984.6831381724373,5.940850195406922,0.0,,20716.932801423016
